sample	cancer_type	sample_type	expression
TCGA-97-8176-01	LUAD	Primary Tumor	4.76
TCGA-97-8177-01	LUAD	Primary Tumor	5.43
TCGA-97-8179-01	LUAD	Primary Tumor	4.84
TCGA-97-8547-01	LUAD	Primary Tumor	5.77
TCGA-97-8552-01	LUAD	Primary Tumor	6.36
TCGA-97-A4LX-01	LUAD	Primary Tumor	5.8
TCGA-97-A4M0-01	LUAD	Primary Tumor	5.99
TCGA-97-A4M1-01	LUAD	Primary Tumor	6.39
TCGA-97-A4M2-01	LUAD	Primary Tumor	5.85
TCGA-97-A4M3-01	LUAD	Primary Tumor	5.66
TCGA-97-A4M5-01	LUAD	Primary Tumor	6.03
TCGA-97-A4M6-01	LUAD	Primary Tumor	5.28
TCGA-97-A4M7-01	LUAD	Primary Tumor	5.61
TCGA-98-7454-01	LUSC	Primary Tumor	5.09
TCGA-98-8020-01	LUSC	Primary Tumor	6.65
TCGA-98-8021-01	LUSC	Primary Tumor	6.22
TCGA-98-8022-01	LUSC	Primary Tumor	5.06
TCGA-98-8023-01	LUSC	Primary Tumor	4.58
TCGA-98-A538-01	LUSC	Primary Tumor	4.36
TCGA-98-A539-01	LUSC	Primary Tumor	4.54
TCGA-98-A53A-01	LUSC	Primary Tumor	5.61
TCGA-98-A53B-01	LUSC	Primary Tumor	4.37
TCGA-98-A53C-01	LUSC	Primary Tumor	5.94
TCGA-98-A53D-01	LUSC	Primary Tumor	6.07
TCGA-98-A53H-01	LUSC	Primary Tumor	6.22
TCGA-98-A53I-01	LUSC	Primary Tumor	5.72
TCGA-98-A53J-01	LUSC	Primary Tumor	5.83
TCGA-99-7458-01	LUAD	Primary Tumor	6.48
TCGA-99-8025-01	LUAD	Primary Tumor	6.17
TCGA-99-8028-01	LUAD	Primary Tumor	5.88
TCGA-99-8032-01	LUAD	Primary Tumor	5.81
TCGA-99-8033-01	LUAD	Primary Tumor	4.15
TCGA-99-AA5R-01	LUAD	Primary Tumor	6.63
TCGA-A1-A0SB-01	BRCA	Primary Tumor	6.85
TCGA-A1-A0SD-01	BRCA	Primary Tumor	6.02
TCGA-A1-A0SE-01	BRCA	Primary Tumor	6.02
TCGA-A1-A0SF-01	BRCA	Primary Tumor	5.99
TCGA-A1-A0SG-01	BRCA	Primary Tumor	5.68
TCGA-A1-A0SH-01	BRCA	Primary Tumor	6.17
TCGA-A1-A0SI-01	BRCA	Primary Tumor	5.8
TCGA-A1-A0SJ-01	BRCA	Primary Tumor	5.4
TCGA-A1-A0SK-01	BRCA	Primary Tumor	6.46
TCGA-A1-A0SM-01	BRCA	Primary Tumor	5.34
TCGA-A1-A0SN-01	BRCA	Primary Tumor	6.09
TCGA-A1-A0SO-01	BRCA	Primary Tumor	5.12
TCGA-A1-A0SP-01	BRCA	Primary Tumor	5.05
TCGA-A1-A0SQ-01	BRCA	Primary Tumor	6.06
TCGA-A2-A04N-01	BRCA	Primary Tumor	5.97
TCGA-A2-A04P-01	BRCA	Primary Tumor	4.96
TCGA-A2-A04Q-01	BRCA	Primary Tumor	5.4
TCGA-A2-A04R-01	BRCA	Primary Tumor	6.4
TCGA-A2-A04T-01	BRCA	Primary Tumor	5.98
TCGA-A2-A04U-01	BRCA	Primary Tumor	6.63
TCGA-A2-A04V-01	BRCA	Primary Tumor	5.85
TCGA-A2-A04W-01	BRCA	Primary Tumor	6.7
TCGA-A2-A04X-01	BRCA	Primary Tumor	5.99
TCGA-A2-A04Y-01	BRCA	Primary Tumor	5.58
TCGA-A2-A0CK-01	BRCA	Primary Tumor	6.43
TCGA-A2-A0CL-01	BRCA	Primary Tumor	5.77
TCGA-A2-A0CM-01	BRCA	Primary Tumor	5.39
TCGA-A2-A0CO-01	BRCA	Primary Tumor	6.29
TCGA-A2-A0CP-01	BRCA	Primary Tumor	6.12
TCGA-A2-A0CQ-01	BRCA	Primary Tumor	5.48
TCGA-A2-A0CR-01	BRCA	Primary Tumor	5.8
TCGA-A2-A0CS-01	BRCA	Primary Tumor	6.23
TCGA-A2-A0CT-01	BRCA	Primary Tumor	5.26
TCGA-A2-A0CU-01	BRCA	Primary Tumor	5
TCGA-A2-A0CV-01	BRCA	Primary Tumor	6.66
TCGA-A2-A0CW-01	BRCA	Primary Tumor	5.37
TCGA-A2-A0CX-01	BRCA	Primary Tumor	4.93
TCGA-A2-A0CY-01	BRCA	Primary Tumor	3.06
TCGA-A2-A0CZ-01	BRCA	Primary Tumor	5.98
TCGA-A2-A0D0-01	BRCA	Primary Tumor	4.88
TCGA-A2-A0D1-01	BRCA	Primary Tumor	4.62
TCGA-A2-A0D2-01	BRCA	Primary Tumor	5.71
TCGA-A2-A0D3-01	BRCA	Primary Tumor	5.88
TCGA-A2-A0D4-01	BRCA	Primary Tumor	5.13
TCGA-A2-A0EM-01	BRCA	Primary Tumor	5.26
TCGA-A2-A0EN-01	BRCA	Primary Tumor	6.26
TCGA-A2-A0EO-01	BRCA	Primary Tumor	5.47
TCGA-A2-A0EP-01	BRCA	Primary Tumor	5.83
TCGA-A2-A0EQ-01	BRCA	Primary Tumor	5.5
TCGA-A2-A0ER-01	BRCA	Primary Tumor	5.66
TCGA-A2-A0ES-01	BRCA	Primary Tumor	6.11
TCGA-A2-A0ET-01	BRCA	Primary Tumor	6.03
TCGA-A2-A0EU-01	BRCA	Primary Tumor	4.51
TCGA-A2-A0EV-01	BRCA	Primary Tumor	5.38
TCGA-A2-A0EW-01	BRCA	Primary Tumor	6.16
TCGA-A2-A0EX-01	BRCA	Primary Tumor	5.77
TCGA-A2-A0EY-01	BRCA	Primary Tumor	5.62
TCGA-A2-A0ST-01	BRCA	Primary Tumor	5.45
TCGA-A2-A0SU-01	BRCA	Primary Tumor	5.36
TCGA-A2-A0SV-01	BRCA	Primary Tumor	5.48
TCGA-A2-A0SW-01	BRCA	Primary Tumor	5.58
TCGA-A2-A0SX-01	BRCA	Primary Tumor	6.08
TCGA-A2-A0SY-01	BRCA	Primary Tumor	5.77
TCGA-A2-A0T0-01	BRCA	Primary Tumor	6.54
TCGA-A2-A0T1-01	BRCA	Primary Tumor	5.44
TCGA-A2-A0T2-01	BRCA	Primary Tumor	5.65
TCGA-A2-A0T3-01	BRCA	Primary Tumor	6.1
TCGA-A2-A0T4-01	BRCA	Primary Tumor	6.13
TCGA-A2-A0T5-01	BRCA	Primary Tumor	5.93
TCGA-A2-A0T6-01	BRCA	Primary Tumor	6.06
TCGA-A2-A0T7-01	BRCA	Primary Tumor	6.36
TCGA-A2-A0YC-01	BRCA	Primary Tumor	5.75
TCGA-A2-A0YD-01	BRCA	Primary Tumor	6.19
TCGA-A2-A0YE-01	BRCA	Primary Tumor	4.7
TCGA-A2-A0YF-01	BRCA	Primary Tumor	6.51
TCGA-A2-A0YG-01	BRCA	Primary Tumor	5.95
TCGA-A2-A0YH-01	BRCA	Primary Tumor	5.59
TCGA-A2-A0YI-01	BRCA	Primary Tumor	6.75
TCGA-A2-A0YJ-01	BRCA	Primary Tumor	5.38
TCGA-A2-A0YK-01	BRCA	Primary Tumor	6.68
TCGA-A2-A0YL-01	BRCA	Primary Tumor	6.48
TCGA-A2-A0YM-01	BRCA	Primary Tumor	4.96
TCGA-A2-A0YT-01	BRCA	Primary Tumor	5.14
TCGA-A2-A1FV-01	BRCA	Primary Tumor	7.03
TCGA-A2-A1FW-01	BRCA	Primary Tumor	6.82
TCGA-A2-A1FX-01	BRCA	Primary Tumor	5.27
TCGA-A2-A1FZ-01	BRCA	Primary Tumor	5.61
TCGA-A2-A1G0-01	BRCA	Primary Tumor	5.62
TCGA-A2-A1G1-01	BRCA	Primary Tumor	4.69
TCGA-A2-A1G4-01	BRCA	Primary Tumor	5.86
TCGA-A2-A1G6-01	BRCA	Primary Tumor	6.62
TCGA-A2-A259-01	BRCA	Primary Tumor	6.39
TCGA-A2-A25A-01	BRCA	Primary Tumor	6.15
TCGA-A2-A25B-01	BRCA	Primary Tumor	4.97
TCGA-A2-A25C-01	BRCA	Primary Tumor	6.11
TCGA-A2-A25D-01	BRCA	Primary Tumor	5.89
TCGA-A2-A25E-01	BRCA	Primary Tumor	5.61
TCGA-A2-A25F-01	BRCA	Primary Tumor	5.92
TCGA-A2-A3KC-01	BRCA	Primary Tumor	6.58
TCGA-A2-A3KD-01	BRCA	Primary Tumor	6.24
TCGA-A2-A3XS-01	BRCA	Primary Tumor	5.69
TCGA-A2-A3XT-01	BRCA	Primary Tumor	5.52
TCGA-A2-A3XU-01	BRCA	Primary Tumor	6.66
TCGA-A2-A3XV-01	BRCA	Primary Tumor	7.43
TCGA-A2-A3XW-01	BRCA	Primary Tumor	6.58
TCGA-A2-A3XX-01	BRCA	Primary Tumor	5.99
TCGA-A2-A3XY-01	BRCA	Primary Tumor	5.61
TCGA-A2-A3XZ-01	BRCA	Primary Tumor	6.6
TCGA-A2-A3Y0-01	BRCA	Primary Tumor	5.53
TCGA-A2-A4RW-01	BRCA	Primary Tumor	6.29
TCGA-A2-A4RX-01	BRCA	Primary Tumor	5.65
TCGA-A2-A4RY-01	BRCA	Primary Tumor	6.54
TCGA-A2-A4S0-01	BRCA	Primary Tumor	6.38
TCGA-A2-A4S1-01	BRCA	Primary Tumor	6.47
TCGA-A2-A4S2-01	BRCA	Primary Tumor	6.15
TCGA-A2-A4S3-01	BRCA	Primary Tumor	5.39
TCGA-A3-3306-01	KIRC	Primary Tumor	5.41
TCGA-A3-3307-01	KIRC	Primary Tumor	6.05
TCGA-A3-3308-01	KIRC	Primary Tumor	6.38
TCGA-A3-3311-01	KIRC	Primary Tumor	6.05
TCGA-A3-3313-01	KIRC	Primary Tumor	5.88
TCGA-A3-3316-01	KIRC	Primary Tumor	5.6
TCGA-A3-3317-01	KIRC	Primary Tumor	6.04
TCGA-A3-3319-01	KIRC	Primary Tumor	5.1
TCGA-A3-3320-01	KIRC	Primary Tumor	6.06
TCGA-A3-3322-01	KIRC	Primary Tumor	6.2
TCGA-A3-3323-01	KIRC	Primary Tumor	6.17
TCGA-A3-3324-01	KIRC	Primary Tumor	6.65
TCGA-A3-3325-01	KIRC	Primary Tumor	5.51
TCGA-A3-3326-01	KIRC	Primary Tumor	5.98
TCGA-A3-3328-01	KIRC	Primary Tumor	6.57
TCGA-A3-3329-01	KIRC	Primary Tumor	6.19
TCGA-A3-3331-01	KIRC	Primary Tumor	6.5
TCGA-A3-3335-01	KIRC	Primary Tumor	5.69
TCGA-A3-3343-01	KIRC	Primary Tumor	6.16
TCGA-A3-3346-01	KIRC	Primary Tumor	5.09
TCGA-A3-3347-01	KIRC	Primary Tumor	5.78
TCGA-A3-3349-01	KIRC	Primary Tumor	6.5
TCGA-A3-3351-01	KIRC	Primary Tumor	6.54
TCGA-A3-3352-01	KIRC	Primary Tumor	5.81
TCGA-A3-3357-01	KIRC	Primary Tumor	5.57
TCGA-A3-3358-01	KIRC	Primary Tumor	5.83
TCGA-A3-3358-11	KIRC	Solid Tissue Normal	6.07
TCGA-A3-3359-01	KIRC	Primary Tumor	6.02
TCGA-A3-3362-01	KIRC	Primary Tumor	6.23
TCGA-A3-3363-01	KIRC	Primary Tumor	5.58
TCGA-A3-3365-01	KIRC	Primary Tumor	5.78
TCGA-A3-3367-01	KIRC	Primary Tumor	6.27
TCGA-A3-3370-01	KIRC	Primary Tumor	6.32
TCGA-A3-3372-01	KIRC	Primary Tumor	5.93
TCGA-A3-3373-01	KIRC	Primary Tumor	6
TCGA-A3-3374-01	KIRC	Primary Tumor	5.45
TCGA-A3-3376-01	KIRC	Primary Tumor	6.69
TCGA-A3-3378-01	KIRC	Primary Tumor	6.71
TCGA-A3-3380-01	KIRC	Primary Tumor	6.45
TCGA-A3-3382-01	KIRC	Primary Tumor	6.1
TCGA-A3-3383-01	KIRC	Primary Tumor	5.82
TCGA-A3-3385-01	KIRC	Primary Tumor	5.93
TCGA-A3-3387-01	KIRC	Primary Tumor	6.21
TCGA-A3-3387-11	KIRC	Solid Tissue Normal	5.97
TCGA-A3-A6NI-01	KIRC	Primary Tumor	6.42
TCGA-A3-A6NJ-01	KIRC	Primary Tumor	5.83
TCGA-A3-A6NL-01	KIRC	Primary Tumor	6.33
TCGA-A3-A6NN-01	KIRC	Primary Tumor	6.37
TCGA-A3-A8CQ-01	KIRC	Primary Tumor	6.13
TCGA-A3-A8OU-01	KIRC	Primary Tumor	5.83
TCGA-A3-A8OV-01	KIRC	Primary Tumor	5.99
TCGA-A3-A8OW-01	KIRC	Primary Tumor	6.73
TCGA-A3-A8OX-01	KIRC	Primary Tumor	6.41
TCGA-A4-7286-01	KIRP	Primary Tumor	5.46
TCGA-A4-7287-01	KIRP	Primary Tumor	4.54
TCGA-A4-7288-01	KIRP	Primary Tumor	6.78
TCGA-A4-7583-01	KIRP	Primary Tumor	6.37
TCGA-A4-7584-01	KIRP	Primary Tumor	5.96
TCGA-A4-7585-01	KIRP	Primary Tumor	5.43
TCGA-A4-7732-01	KIRP	Primary Tumor	5.91
TCGA-A4-7734-01	KIRP	Primary Tumor	6.54
TCGA-A4-7828-01	KIRP	Primary Tumor	5.35
TCGA-A4-7915-01	KIRP	Primary Tumor	5.15
TCGA-A4-7996-01	KIRP	Primary Tumor	6.19
TCGA-A4-7997-01	KIRP	Primary Tumor	5.97
TCGA-A4-8098-01	KIRP	Primary Tumor	5.31
TCGA-A4-8310-01	KIRP	Primary Tumor	5.43
TCGA-A4-8311-01	KIRP	Primary Tumor	6.38
TCGA-A4-8312-01	KIRP	Primary Tumor	5.4
TCGA-A4-8515-01	KIRP	Primary Tumor	5.94
TCGA-A4-8516-01	KIRP	Primary Tumor	5.56
TCGA-A4-8517-01	KIRP	Primary Tumor	6.06
TCGA-A4-8518-01	KIRP	Primary Tumor	5.32
TCGA-A4-8630-01	KIRP	Primary Tumor	6.01
TCGA-A4-A48D-01	KIRP	Primary Tumor	4.97
TCGA-A4-A4ZT-01	KIRP	Primary Tumor	5.89
TCGA-A4-A4ZT-11	KIRP	Solid Tissue Normal	6.61
TCGA-A4-A57E-01	KIRP	Primary Tumor	5.47
TCGA-A4-A57E-11	KIRP	Solid Tissue Normal	5.54
TCGA-A4-A5DU-01	KIRP	Primary Tumor	5.56
TCGA-A4-A5XZ-01	KIRP	Primary Tumor	5.34
TCGA-A4-A5Y0-01	KIRP	Primary Tumor	5.73
TCGA-A4-A5Y1-01	KIRP	Primary Tumor	5.87
TCGA-A4-A6HP-01	KIRP	Primary Tumor	5.44
TCGA-A4-A772-01	KIRP	Primary Tumor	5.44
TCGA-A4-A7UZ-01	KIRP	Primary Tumor	5.86
TCGA-A5-A0G1-01	UCEC	Primary Tumor	6.09
TCGA-A5-A0G2-01	UCEC	Primary Tumor	5.66
TCGA-A5-A0G3-01	UCEC	Primary Tumor	4.7
TCGA-A5-A0G5-01	UCEC	Primary Tumor	5.54
TCGA-A5-A0G9-01	UCEC	Primary Tumor	6.63
TCGA-A5-A0GA-01	UCEC	Primary Tumor	5.89
TCGA-A5-A0GB-01	UCEC	Primary Tumor	5.33
TCGA-A5-A0GD-01	UCEC	Primary Tumor	6.51
TCGA-A5-A0GE-01	UCEC	Primary Tumor	6.1
TCGA-A5-A0GG-01	UCEC	Primary Tumor	5.38
TCGA-A5-A0GH-01	UCEC	Primary Tumor	5.76
TCGA-A5-A0GI-01	UCEC	Primary Tumor	5.61
TCGA-A5-A0GJ-01	UCEC	Primary Tumor	5.58
TCGA-A5-A0GM-01	UCEC	Primary Tumor	5.18
TCGA-A5-A0GN-01	UCEC	Primary Tumor	5.07
TCGA-A5-A0GP-01	UCEC	Primary Tumor	5.57
TCGA-A5-A0GQ-01	UCEC	Primary Tumor	5.98
TCGA-A5-A0GR-01	UCEC	Primary Tumor	5.38
TCGA-A5-A0GU-01	UCEC	Primary Tumor	6.45
TCGA-A5-A0GV-01	UCEC	Primary Tumor	3.92
TCGA-A5-A0GW-01	UCEC	Primary Tumor	5.57
TCGA-A5-A0GX-01	UCEC	Primary Tumor	6.42
TCGA-A5-A0R6-01	UCEC	Primary Tumor	5.64
TCGA-A5-A0R7-01	UCEC	Primary Tumor	4.94
TCGA-A5-A0R8-01	UCEC	Primary Tumor	5.34
TCGA-A5-A0R9-01	UCEC	Primary Tumor	5.57
TCGA-A5-A0RA-01	UCEC	Primary Tumor	6.45
TCGA-A5-A0VO-01	UCEC	Primary Tumor	6.23
TCGA-A5-A0VP-01	UCEC	Primary Tumor	3.45
TCGA-A5-A0VQ-01	UCEC	Primary Tumor	5.16
TCGA-A5-A1OF-01	UCEC	Primary Tumor	5.99
TCGA-A5-A1OG-01	UCEC	Primary Tumor	5.99
TCGA-A5-A1OH-01	UCEC	Primary Tumor	5.78
TCGA-A5-A1OJ-01	UCEC	Primary Tumor	5.19
TCGA-A5-A1OK-01	UCEC	Primary Tumor	7.02
TCGA-A5-A2K2-01	UCEC	Primary Tumor	5.22
TCGA-A5-A2K3-01	UCEC	Primary Tumor	5.18
TCGA-A5-A2K4-01	UCEC	Primary Tumor	5.65
TCGA-A5-A2K5-01	UCEC	Primary Tumor	5.78
TCGA-A5-A2K7-01	UCEC	Primary Tumor	6.09
TCGA-A5-A3LO-01	UCEC	Primary Tumor	4.61
TCGA-A5-A3LP-01	UCEC	Primary Tumor	4.72
TCGA-A5-A7WJ-01	UCEC	Primary Tumor	5.81
TCGA-A5-A7WK-01	UCEC	Primary Tumor	6.7
TCGA-A5-AB3J-01	UCEC	Primary Tumor	6.21
TCGA-A6-2671-01	COAD	Primary Tumor	6.49
TCGA-A6-2671-11	COAD	Solid Tissue Normal	6.38
TCGA-A6-2672-01	COAD	Primary Tumor	5.26
TCGA-A6-2674-01	COAD	Primary Tumor	6.13
TCGA-A6-2675-01	COAD	Primary Tumor	5.84
TCGA-A6-2675-11	COAD	Solid Tissue Normal	7.65
TCGA-A6-2676-01	COAD	Primary Tumor	5.74
TCGA-A6-2677-01	COAD	Primary Tumor	6.28
TCGA-A6-2678-01	COAD	Primary Tumor	5.75
TCGA-A6-2678-11	COAD	Solid Tissue Normal	6.34
TCGA-A6-2679-01	COAD	Primary Tumor	6.23
TCGA-A6-2679-11	COAD	Solid Tissue Normal	6.09
TCGA-A6-2680-01	COAD	Primary Tumor	6.47
TCGA-A6-2680-11	COAD	Solid Tissue Normal	6.07
TCGA-A6-2681-01	COAD	Primary Tumor	6.77
TCGA-A6-2682-01	COAD	Primary Tumor	6.14
TCGA-A6-2682-11	COAD	Solid Tissue Normal	5.89
TCGA-A6-2683-01	COAD	Primary Tumor	5.74
TCGA-A6-2683-11	COAD	Solid Tissue Normal	5.86
TCGA-A6-2684-01	COAD	Primary Tumor	6.65
TCGA-A6-2684-11	COAD	Solid Tissue Normal	5.89
TCGA-A6-2685-01	COAD	Primary Tumor	6.51
TCGA-A6-2685-11	COAD	Solid Tissue Normal	5.94
TCGA-A6-2686-01	COAD	Primary Tumor	6.21
TCGA-A6-2686-11	COAD	Solid Tissue Normal	6.03
TCGA-A6-3807-01	COAD	Primary Tumor	5.74
TCGA-A6-3808-01	COAD	Primary Tumor	6.23
TCGA-A6-3809-01	COAD	Primary Tumor	6.05
TCGA-A6-3810-01	COAD	Primary Tumor	5.22
TCGA-A6-4105-01	COAD	Primary Tumor	5.76
TCGA-A6-4107-01	COAD	Primary Tumor	5.68
TCGA-A6-5656-01	COAD	Primary Tumor	5.96
TCGA-A6-5657-01	COAD	Primary Tumor	6.79
TCGA-A6-5659-01	COAD	Primary Tumor	6.43
TCGA-A6-5659-11	COAD	Solid Tissue Normal	5.89
TCGA-A6-5660-01	COAD	Primary Tumor	6.18
TCGA-A6-5661-01	COAD	Primary Tumor	5.39
TCGA-A6-5662-01	COAD	Primary Tumor	5.6
TCGA-A6-5662-11	COAD	Solid Tissue Normal	6.86
TCGA-A6-5664-01	COAD	Primary Tumor	5.75
TCGA-A6-5665-01	COAD	Primary Tumor	5.29
TCGA-A6-5665-11	COAD	Solid Tissue Normal	5.67
TCGA-A6-5666-01	COAD	Primary Tumor	5.49
TCGA-A6-5667-01	COAD	Primary Tumor	5.8
TCGA-A6-5667-11	COAD	Solid Tissue Normal	6.21
TCGA-A6-6137-01	COAD	Primary Tumor	6.14
TCGA-A6-6138-01	COAD	Primary Tumor	5.69
TCGA-A6-6140-01	COAD	Primary Tumor	5.43
TCGA-A6-6141-01	COAD	Primary Tumor	5.44
TCGA-A6-6142-01	COAD	Primary Tumor	5.47
TCGA-A6-6648-01	COAD	Primary Tumor	6.35
TCGA-A6-6649-01	COAD	Primary Tumor	5.91
TCGA-A6-6650-01	COAD	Primary Tumor	6.11
TCGA-A6-6651-01	COAD	Primary Tumor	6.38
TCGA-A6-6652-01	COAD	Primary Tumor	5.87
TCGA-A6-6653-01	COAD	Primary Tumor	5.41
TCGA-A6-6654-01	COAD	Primary Tumor	6.22
TCGA-A6-6780-01	COAD	Primary Tumor	5.84
TCGA-A6-6781-01	COAD	Primary Tumor	5.58
TCGA-A6-6782-01	COAD	Primary Tumor	5.99
TCGA-A6-A565-01	COAD	Primary Tumor	5.82
TCGA-A6-A566-01	COAD	Primary Tumor	5.75
TCGA-A6-A567-01	COAD	Primary Tumor	5.57
TCGA-A6-A56B-01	COAD	Primary Tumor	5.95
TCGA-A6-A5ZU-01	COAD	Primary Tumor	5.58
TCGA-A7-A0CD-01	BRCA	Primary Tumor	5.55
TCGA-A7-A0CE-01	BRCA	Primary Tumor	4.93
TCGA-A7-A0CE-11	BRCA	Solid Tissue Normal	6.23
TCGA-A7-A0CG-01	BRCA	Primary Tumor	5.8
TCGA-A7-A0CH-01	BRCA	Primary Tumor	5.91
TCGA-A7-A0CH-11	BRCA	Solid Tissue Normal	6.2
TCGA-A7-A0CJ-01	BRCA	Primary Tumor	5.36
TCGA-A7-A0D9-01	BRCA	Primary Tumor	5.27
TCGA-A7-A0D9-11	BRCA	Solid Tissue Normal	6.22
TCGA-A7-A0DA-01	BRCA	Primary Tumor	6.27
TCGA-A7-A0DB-01	BRCA	Primary Tumor	6.12
TCGA-A7-A0DB-11	BRCA	Solid Tissue Normal	6.71
TCGA-A7-A0DC-01	BRCA	Primary Tumor	5.05
TCGA-A7-A0DC-11	BRCA	Solid Tissue Normal	6.26
TCGA-A7-A13D-01	BRCA	Primary Tumor	4.49
TCGA-A7-A13E-01	BRCA	Primary Tumor	5.32
TCGA-A7-A13E-11	BRCA	Solid Tissue Normal	6.75
TCGA-A7-A13F-01	BRCA	Primary Tumor	4.92
TCGA-A7-A13F-11	BRCA	Solid Tissue Normal	6.95
TCGA-A7-A13G-01	BRCA	Primary Tumor	6.14
TCGA-A7-A13G-11	BRCA	Solid Tissue Normal	6.56
TCGA-A7-A13H-01	BRCA	Primary Tumor	6.04
TCGA-A7-A26E-01	BRCA	Primary Tumor	6.19
TCGA-A7-A26F-01	BRCA	Primary Tumor	5.95
TCGA-A7-A26G-01	BRCA	Primary Tumor	6.44
TCGA-A7-A26H-01	BRCA	Primary Tumor	5.44
TCGA-A7-A26I-01	BRCA	Primary Tumor	5.74
TCGA-A7-A26J-01	BRCA	Primary Tumor	6.27
TCGA-A7-A2KD-01	BRCA	Primary Tumor	6.02
TCGA-A7-A3IY-01	BRCA	Primary Tumor	5.34
TCGA-A7-A3IZ-01	BRCA	Primary Tumor	6.35
TCGA-A7-A3J0-01	BRCA	Primary Tumor	6.86
TCGA-A7-A3J1-01	BRCA	Primary Tumor	6.55
TCGA-A7-A3RF-01	BRCA	Primary Tumor	6.77
TCGA-A7-A425-01	BRCA	Primary Tumor	6.18
TCGA-A7-A426-01	BRCA	Primary Tumor	6.28
TCGA-A7-A4SA-01	BRCA	Primary Tumor	5.77
TCGA-A7-A4SB-01	BRCA	Primary Tumor	5.22
TCGA-A7-A4SC-01	BRCA	Primary Tumor	6.34
TCGA-A7-A4SD-01	BRCA	Primary Tumor	5.75
TCGA-A7-A4SE-01	BRCA	Primary Tumor	6.33
TCGA-A7-A4SF-01	BRCA	Primary Tumor	5.2
TCGA-A7-A56D-01	BRCA	Primary Tumor	5.87
TCGA-A7-A5ZV-01	BRCA	Primary Tumor	6.5
TCGA-A7-A5ZW-01	BRCA	Primary Tumor	5.7
TCGA-A7-A5ZX-01	BRCA	Primary Tumor	6.09
TCGA-A7-A6VV-01	BRCA	Primary Tumor	5.13
TCGA-A7-A6VW-01	BRCA	Primary Tumor	4.7
TCGA-A7-A6VX-01	BRCA	Primary Tumor	6.52
TCGA-A7-A6VY-01	BRCA	Primary Tumor	6.41
TCGA-A8-A06N-01	BRCA	Primary Tumor	4.85
TCGA-A8-A06O-01	BRCA	Primary Tumor	5.66
TCGA-A8-A06P-01	BRCA	Primary Tumor	5.72
TCGA-A8-A06Q-01	BRCA	Primary Tumor	5.43
TCGA-A8-A06R-01	BRCA	Primary Tumor	4.2
TCGA-A8-A06T-01	BRCA	Primary Tumor	5.06
TCGA-A8-A06U-01	BRCA	Primary Tumor	5.35
TCGA-A8-A06X-01	BRCA	Primary Tumor	4.72
TCGA-A8-A06Y-01	BRCA	Primary Tumor	6.15
TCGA-A8-A06Z-01	BRCA	Primary Tumor	4.86
TCGA-A8-A075-01	BRCA	Primary Tumor	5.46
TCGA-A8-A076-01	BRCA	Primary Tumor	5.89
TCGA-A8-A079-01	BRCA	Primary Tumor	4.7
TCGA-A8-A07B-01	BRCA	Primary Tumor	5.6
TCGA-A8-A07C-01	BRCA	Primary Tumor	6.03
TCGA-A8-A07E-01	BRCA	Primary Tumor	5.9
TCGA-A8-A07F-01	BRCA	Primary Tumor	6.46
TCGA-A8-A07G-01	BRCA	Primary Tumor	5.46
TCGA-A8-A07I-01	BRCA	Primary Tumor	6.46
TCGA-A8-A07J-01	BRCA	Primary Tumor	6.07
TCGA-A8-A07L-01	BRCA	Primary Tumor	5.85
TCGA-A8-A07O-01	BRCA	Primary Tumor	5.47
TCGA-A8-A07P-01	BRCA	Primary Tumor	5.53
TCGA-A8-A07R-01	BRCA	Primary Tumor	4.05
TCGA-A8-A07S-01	BRCA	Primary Tumor	5.39
TCGA-A8-A07U-01	BRCA	Primary Tumor	5.57
TCGA-A8-A07W-01	BRCA	Primary Tumor	5.35
TCGA-A8-A07Z-01	BRCA	Primary Tumor	5.45
TCGA-A8-A081-01	BRCA	Primary Tumor	5.8
TCGA-A8-A082-01	BRCA	Primary Tumor	6.1
TCGA-A8-A083-01	BRCA	Primary Tumor	4.98
TCGA-A8-A084-01	BRCA	Primary Tumor	5.81
TCGA-A8-A085-01	BRCA	Primary Tumor	5.23
TCGA-A8-A086-01	BRCA	Primary Tumor	5.09
TCGA-A8-A08A-01	BRCA	Primary Tumor	6.11
TCGA-A8-A08B-01	BRCA	Primary Tumor	5.04
TCGA-A8-A08C-01	BRCA	Primary Tumor	6.29
TCGA-A8-A08F-01	BRCA	Primary Tumor	4.33
TCGA-A8-A08G-01	BRCA	Primary Tumor	5.59
TCGA-A8-A08H-01	BRCA	Primary Tumor	6.17
TCGA-A8-A08I-01	BRCA	Primary Tumor	5.02
TCGA-A8-A08J-01	BRCA	Primary Tumor	6.29
TCGA-A8-A08L-01	BRCA	Primary Tumor	5.83
TCGA-A8-A08O-01	BRCA	Primary Tumor	5.88
TCGA-A8-A08P-01	BRCA	Primary Tumor	5.47
TCGA-A8-A08R-01	BRCA	Primary Tumor	5.54
TCGA-A8-A08S-01	BRCA	Primary Tumor	5.49
TCGA-A8-A08T-01	BRCA	Primary Tumor	5.66
TCGA-A8-A08X-01	BRCA	Primary Tumor	5.67
TCGA-A8-A08Z-01	BRCA	Primary Tumor	6.12
TCGA-A8-A090-01	BRCA	Primary Tumor	5.34
TCGA-A8-A091-01	BRCA	Primary Tumor	5.57
TCGA-A8-A092-01	BRCA	Primary Tumor	5.66
TCGA-A8-A093-01	BRCA	Primary Tumor	6.19
