sample	cancer_type	sample_type	expression
TCGA-22-5483-11	LUSC	Solid Tissue Normal	6.14
TCGA-22-5485-01	LUSC	Primary Tumor	6.15
TCGA-22-5489-01	LUSC	Primary Tumor	4.34
TCGA-22-5489-11	LUSC	Solid Tissue Normal	6.54
TCGA-22-5491-01	LUSC	Primary Tumor	5.46
TCGA-22-5491-11	LUSC	Solid Tissue Normal	6.17
TCGA-22-5492-01	LUSC	Primary Tumor	4.67
TCGA-22-A5C4-01	LUSC	Primary Tumor	5.18
TCGA-2A-A8VL-01	PRAD	Primary Tumor	6.23
TCGA-2A-A8VO-01	PRAD	Primary Tumor	6.12
TCGA-2A-A8VT-01	PRAD	Primary Tumor	6.54
TCGA-2A-A8VV-01	PRAD	Primary Tumor	6.08
TCGA-2A-A8VX-01	PRAD	Primary Tumor	5.47
TCGA-2A-A8W1-01	PRAD	Primary Tumor	5.97
TCGA-2A-A8W3-01	PRAD	Primary Tumor	6.62
TCGA-2A-AAYF-01	PRAD	Primary Tumor	6.08
TCGA-2A-AAYO-01	PRAD	Primary Tumor	6.22
TCGA-2A-AAYU-01	PRAD	Primary Tumor	6.53
TCGA-2E-A9G8-01	UCEC	Primary Tumor	4.29
TCGA-2K-A9WE-01	KIRP	Primary Tumor	5.61
TCGA-2V-A95S-01	LIHC	Primary Tumor	5.46
TCGA-2Y-A9GS-01	LIHC	Primary Tumor	6.02
TCGA-2Y-A9GT-01	LIHC	Primary Tumor	5.09
TCGA-2Y-A9GU-01	LIHC	Primary Tumor	4.56
TCGA-2Y-A9GV-01	LIHC	Primary Tumor	5.22
TCGA-2Y-A9GW-01	LIHC	Primary Tumor	6.33
TCGA-2Y-A9GX-01	LIHC	Primary Tumor	6.34
TCGA-2Y-A9GY-01	LIHC	Primary Tumor	6.53
TCGA-2Y-A9GZ-01	LIHC	Primary Tumor	6.09
TCGA-2Y-A9H0-01	LIHC	Primary Tumor	5.69
TCGA-2Y-A9H1-01	LIHC	Primary Tumor	7.42
TCGA-2Y-A9H2-01	LIHC	Primary Tumor	5.1
TCGA-2Y-A9H3-01	LIHC	Primary Tumor	5.83
